"participant","language","musical_practice","key_resp.corr","key_resp.rt","trials","audio1","audio2","Age","Sex","Language"
"58bfee7de5869400018f5e9e","french english","y",1,7.9273,14,"stimuli/E4.wav","stimuli/B4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,6.3274,16,"stimuli/G4.wav","stimuli/A4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,6.888,12,"stimuli/A4.wav","stimuli/D4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.5192,6,"stimuli/G4.wav","stimuli/G4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.2141,15,"stimuli/Eb4.wav","stimuli/Bb4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.2779,4,"stimuli/C5.wav","stimuli/Eb4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.0928,3,"stimuli/Eb4.wav","stimuli/Eb4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.0468,8,"stimuli/Bb4.wav","stimuli/C5.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.3216,5,"stimuli/C4.wav","stimuli/F4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.1341,19,"stimuli/Eb4.wav","stimuli/E4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.0847,18,"stimuli/C5.wav","stimuli/C5.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,3.9103,2,"stimuli/F4.wav","stimuli/Db4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.1274,0,"stimuli/A4.wav","stimuli/Bb4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,3.9625,11,"stimuli/C4.wav","stimuli/Ab4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,3.9067,10,"stimuli/Db4.wav","stimuli/Ab4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,3.8007,17,"stimuli/C4.wav","stimuli/D4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,3.894,7,"stimuli/Bb4.wav","stimuli/Db4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.4975,1,"stimuli/D4.wav","stimuli/F4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,3.9611,9,"stimuli/B4.wav","stimuli/B4.wav","38","Male","French"
"58bfee7de5869400018f5e9e","french english","y",1,4.5843,13,"stimuli/F4.wav","stimuli/G4.wav","38","Male","French"
"5c75c0b13348af0001919592","French","n",1,4.342,4,"stimuli/C5.wav","stimuli/Eb4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,5.278,19,"stimuli/Eb4.wav","stimuli/E4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.539,13,"stimuli/F4.wav","stimuli/G4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.172,1,"stimuli/D4.wav","stimuli/F4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.125,11,"stimuli/C4.wav","stimuli/Ab4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.152,16,"stimuli/G4.wav","stimuli/A4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.272,5,"stimuli/C4.wav","stimuli/F4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.288,8,"stimuli/Bb4.wav","stimuli/C5.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.187,6,"stimuli/G4.wav","stimuli/G4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.705,10,"stimuli/Db4.wav","stimuli/Ab4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.335,15,"stimuli/Eb4.wav","stimuli/Bb4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.305,9,"stimuli/B4.wav","stimuli/B4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.137,3,"stimuli/Eb4.wav","stimuli/Eb4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.042,12,"stimuli/A4.wav","stimuli/D4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,5.121,0,"stimuli/A4.wav","stimuli/Bb4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.119,7,"stimuli/Bb4.wav","stimuli/Db4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.171,2,"stimuli/F4.wav","stimuli/Db4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.172,14,"stimuli/E4.wav","stimuli/B4.wav","30","Female","French"
"5c75c0b13348af0001919592","French","n",1,4.371,17,"stimuli/C4.wav","stimuli/D4.wav","30","Female","French"
